Rating,Name,Rating Agency Name,Date,Sector,currentRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,grossProfitMargin,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Company 112,Rating agency 3,11/10/2011,Technology,-0.377029828,0.740933184,0.461144086,0.277602653,0.480424984,0.076107563,-0.220750748,-0.168534091,0.978687229,-0.028829307,-1.039289535,-0.070112835,0.458906859,-0.004817303,-0.133626501,-0.195060943,0.037024152,-0.443933445
BB,Company 437,Rating agency 3,11/11/2011,Basic Industries,-0.175562595,-0.402932203,-0.67867326,-0.281834658,-1.233698717,-0.143662182,-0.938771195,0.537544506,0.614963997,0.041540988,-0.079565641,0.184478416,1.717548374,-0.235279763,-0.067842051,-0.964013704,-0.662743651,-0.076803547
BBB,Company 15,Rating agency 3,11/13/2011,Consumer Non-Durables,0.08373259,0.816313536,-0.854486769,-0.038855257,-0.905565603,1.006124475,-0.022201642,0.722400643,1.248156507,-1.610991886,1.889238367,0.196977513,0.28256796,-0.128602441,0.02226242,-0.720283843,-0.527362476,2.496440963
BB,Company 255,Rating agency 3,11/14/2011,Consumer Services,1.055830444,1.770461478,-2.446369468,-0.426769563,0.867049178,-0.65969531,-0.022201642,-0.526440987,-1.243271386,-0.018423717,-0.904507334,-0.058890337,0.10871634,-0.121268144,0.081665948,-0.627184448,-0.204338858,0.224973061
BBB,Company 109,Rating agency 3,11/18/2011,Public Utilities,-0.606713302,-0.154306372,0.064803106,0.354517663,1.497385377,0.00198523,0.187271434,-0.65067104,-1.065732909,0.154868521,0.505325828,0.181457438,-0.264577321,-0.090031903,-0.06504492,0.148695591,0.150846171,-0.934189982
BB,Company 419,Rating agency 3,12/15/2011,Technology,1.992472941,1.593761777,0.610263324,0.937112479,-0.139943172,1.323008811,0.758963532,0.252971356,0.920417082,-0.050150283,-1.657164011,-0.04829287,0.464841537,0.105039016,-0.074671795,0.138504719,0.197299906,0.727298903
BB,Company 270,Rating agency 3,12/16/2011,Public Utilities,-1.638150825,0.302838339,0.239324198,0.848617333,0.925214796,0.771139184,0.372746623,-0.559066766,-0.903274673,0.044249267,-0.109219565,0.087360461,0.28127964,3.670401582,-0.212977943,4.01387637,1.029257061,-1.134870887
A,Company 220,Rating agency 3,12/22/2011,Consumer Services,-0.547870395,0.039436477,0.474933243,0.270018244,1.527602835,0.447277609,-0.137533811,-0.100072682,-0.229830656,-0.027982842,-1.115568172,0.179795609,0.096990461,-0.063874709,-0.007253245,-0.214651774,-0.090884689,-1.777398613
BBB,Company 337,Rating agency 3,12/22/2011,Consumer Services,-0.954452848,0.055259152,0.169804396,0.382640713,0.816810273,0.187713996,0.414359892,-0.170887683,0.843095462,0.075722345,0.172313275,0.029757504,0.371259792,6.01641311,-0.218069651,6.219973238,0.098728011,-0.05547773
A,Company 113,Rating agency 3,1/17/2012,Energy,-0.635941334,-1.311602203,0.868203872,-0.059153657,-0.713737119,1.218997697,-0.185150837,0.208756953,-0.450951476,0.033311503,-0.300532754,0.363632057,-0.227780299,-0.11123251,-0.047956313,-0.231642145,-0.203401214,-0.252061277
BB,Company 167,Rating agency 3,2/16/2012,Public Utilities,-0.553780366,0.549274318,0.025181795,-0.145002556,1.517753893,0.015419829,0.751207004,-0.282599596,-1.015613058,0.860880539,1.293874281,-0.042133959,-0.243151482,-0.094895094,-0.020583631,0.017089035,0.610954149,-1.777398613
AA,Company 425,Rating agency 3,2/17/2012,Transportation,0.353087682,0.452914314,0.293340201,-0.009306818,1.488950652,1.037155289,1.462182043,0.959278589,0.007908488,0.255979555,0.782867735,0.158314515,0.331499296,0.071348495,0.086644758,0.137891892,-0.205644369,-0.736190126
B,Company 446,Rating agency 3,2/29/2012,Consumer Services,2.283405679,1.970232554,0.038664859,-0.274495558,0.166876022,-0.568278023,-1.248248437,-0.210885879,-0.72125401,0.138044864,0.447290103,-0.449404327,-0.006054118,-0.113530991,-0.060655986,-0.502691764,0.122855787,0.617477835
BB,Company 460,Rating agency 3,2/29/2012,Capital Goods,1.088976441,0.823026112,0.445517479,-0.432449494,-0.896045722,-0.728967542,-0.022201642,0.488899219,0.367894301,0.065900821,0.089344156,0.270820161,-2.677776535,-0.181401833,0.028488891,-0.692733863,-0.56976045,0.461345337
BB,Company 193,Rating agency 3,03/05/2012,Miscellaneous,-0.377834163,0.142696669,0.464377173,0.050478883,-0.62341865,-0.162087583,-0.756824921,-0.434202297,1.012862832,-0.002103703,-0.569071597,0.144145241,0.506051031,0.002386336,-0.010093878,-0.193274013,0.00608136,0.247471808
BB,Company 253,Rating agency 3,03/05/2012,Energy,-1.067774798,-1.211355274,0.747252889,1.180445744,1.515050859,0.606272444,0.27578468,-0.826212417,-1.397759421,0.028462885,-0.214813737,0.185621896,0.607915669,0.102294605,-0.006547459,0.034249255,1.095886612,-1.777398613
BB,Company 81,Rating agency 3,03/06/2012,Public Utilities,-0.71873561,0.216018287,-0.065825614,-0.426181679,1.521793184,-0.647500494,-0.022201642,-0.934287503,-1.320717622,0.204246485,0.655654375,-8.470516219,-0.746301861,-0.267012509,0.093339462,0.484870905,0.292358769,-1.159164522
A,Company 247,Rating agency 3,3/27/2012,Consumer Non-Durables,-0.829645304,-0.080368451,0.199373817,0.145530963,0.057064411,0.669070486,0.832091445,0.412890857,0.080650343,0.126474042,0.443612185,0.099655149,0.240793348,0.006463928,0.073478773,-0.006532294,-0.200686536,-0.441466949
BB,Company 96,Rating agency 3,04/05/2012,Technology,-0.297404904,-0.065637451,-0.110994832,-0.257390052,1.495723058,0.528120288,0.571707271,1.4219342,0.80312447,0.151993865,0.50223591,0.055593723,0.050777909,-0.069045201,-0.07813308,-0.203146809,-0.468126179,0.102609166
BBB,Company 211,Rating agency 3,4/17/2012,Basic Industries,1.638079564,-0.389249676,0.246514238,-0.169607057,-0.818687941,0.183513063,-0.32487857,0.91471284,0.5905414,-0.041608011,-1.384996842,0.141416726,-0.076258351,-0.097363012,-0.00589657,-0.28834802,-0.536689402,1.25551205
