returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating,ROCE_NetProfitMargin,NetProfitMargin_OpCashFlow,CashRatio_OpCashFlow,CashRatio_NetProfitMargin,DebtRatio_ROCE,DebtRatio_OpCashFlow
-0.737013313,-0.570552725,-1.050097156,0.758465472,3.346231029,0.510075698,3.16954016,-0.088161759,1.970232554,-0.504252611,0.61097675,1.214512857,-1.166041962,0.241255174,-3.863283135,-1.333870953,1.821693204,-0.022201642,24,0.000498256,5,2011,TRUE,8,0.773935584,0.599135794,-1.124121553,-2.068935602,-0.55899915,-0.432744542
0.493449666,-0.189666318,0.464945482,-0.579597498,0.181217889,0.157166899,0.308079987,0.01565625,0.676737609,0.653886558,0.571669946,0.032791628,0.589486764,0.006208953,-0.375707937,-0.619280537,1.008018059,0.025364124,26,0.001993024,5,2011,TRUE,4,0.229427193,-0.088184498,-0.128354331,0.314646094,-0.286002192,0.109930123
-0.215311643,-0.154620268,-0.161170048,-0.032949789,-0.149874992,0.128358411,0.625968915,0.016598969,1.144528375,0.4756814,0.51340454,0.185871751,-0.932349123,0.047360907,0.157624766,1.719044882,-2.446369468,-0.57540312,31,0.002989537,5,2011,TRUE,0,0.034701788,0.024920156,-0.176967284,-0.184463693,0.007094473,0.005094705
0.154422321,0.16785237,-0.102815976,-0.44400419,-0.235880029,0.094779911,0.07046785,0.131632984,0.027096232,0.445451629,0.509727815,0.066991941,-0.907179865,0.011714139,0.523630454,0.562372612,0.513315975,-0.151931955,31,0.003487793,5,2011,TRUE,0,-0.015877082,-0.017257905,0.004548167,-0.002785926,-0.068564158,-0.074527156
0.250004236,0.051807583,0.577257779,1.565617048,1.102906606,-0.052123157,-1.442577244,0.019141235,-0.560332052,-2.027660102,0.233999088,-0.108341624,1.486941655,0.20753909,-0.251483201,-1.777398613,-2.446369468,0.713905804,1,0.003487793,6,2011,TRUE,3,0.14431689,0.02990633,-0.029029449,-0.323456036,0.391410894,0.081110835
0.068731017,-0.305249567,-0.091251833,-0.460061511,-0.282413778,0.088323002,-0.169132781,-0.036978398,0.452830794,0.313691278,0.439759085,-0.018953361,-0.701774415,0.008702814,0.300887191,0.981880755,0.484773956,-0.336515694,1,0.002491281,6,2011,TRUE,4,-0.006271831,0.027854583,-0.138226404,-0.04132164,-0.031620496,0.140433577
0.216507521,-0.500612578,-0.168368663,-0.240716177,-0.155493907,0.034163684,-0.010225563,-0.077556169,0.692113692,1.308574781,0.510008582,0.157276796,-0.621665373,0.040442696,0.598674144,0.033933184,0.582929641,-0.130734223,9,0.001993024,6,2011,TRUE,5,-0.036453082,0.08428747,-0.34648082,-0.116530257,-0.052116863,0.120505546
-0.395055172,0.39690131,0.163303429,0.58513937,0.218794632,0.100204392,-0.577478619,-0.292268452,0.247933523,-1.297446807,-0.84222736,-0.060112533,1.484573333,0.171356619,-0.907087509,-1.142777575,-0.030137343,-0.32279198,21,0.003487793,6,2011,TRUE,5,-0.064513864,0.064815345,0.09840514,0.040488394,-0.231162334,0.232242582
-0.370124939,-0.057067269,0.033289174,-0.467465948,-0.384742048,1.353768576,0.390765172,-0.006089416,0.165496085,0.507655395,0.256585102,0.086708162,-0.824846641,0.005784442,0.765270966,0.394852319,0.443836035,0.475284613,21,0.002989537,6,2011,TRUE,5,-0.012321153,-0.001899722,-0.00944441,0.005509228,0.173020805,0.026677005
-0.987950403,-0.127399844,-1.00497899,0.405060911,0.206965984,-0.102943113,-0.79079049,-0.152239943,0.152205943,-1.199516536,-0.523096506,0.172401858,1.51882573,0.119143088,-0.520776302,-1.777398613,0.099763779,-0.022201642,24,0.002491281,6,2011,TRUE,4,0.992869398,0.128034167,-0.019391013,-0.152963775,-0.40018009,-0.051604697
0.709062476,5.906217756,0.343415902,-0.816390349,-0.003939604,-0.035121541,1.39090227,6.01641311,1.409364517,0.010690362,0.347779053,-0.275023627,-0.646291374,-0.01582646,0.417392994,0.79528519,0.317517104,0.547808035,28,0.002989537,6,2011,TRUE,4,0.24350333,2.028289098,8.324013735,0.483998187,-0.578871762,-4.821779175
1.569944594,0.678638227,0.450154314,0.784856405,-0.021946502,0.080128144,-0.463638131,0.317502747,0.036481639,0.57485658,0.409053326,0.039225107,-0.143038376,0.254643942,0.359609345,0.334623382,0.239642989,1.644374648,30,0.002989537,6,2011,TRUE,0,0.706717332,0.305491926,0.024757835,0.016422367,1.23218107,0.532633559
1.261723547,0.308184839,-0.24271936,0.006732011,-0.495046695,0.170848345,-0.390745022,0.099042043,0.177163003,0.503807086,0.25578286,-0.198323742,-1.048679431,0.053148864,1.722702965,0.479946142,-0.082935923,0.606446607,1,0.001494768,7,2011,TRUE,5,-0.306244732,-0.074802427,0.054598952,-0.043000891,0.008493937,0.002074704
0.181488529,-0.063673066,1.007676833,0.057112394,0.358673836,-0.127480642,0.408091989,-0.002373754,0.728442919,-1.120793338,0.263636056,0.034564154,1.482358806,0.058555605,-0.388151269,-1.777398613,-0.340483445,0.727944979,29,0.003487793,7,2011,TRUE,5,0.182881786,-0.064161873,-0.046382194,0.734035054,0.010365244,-0.003636521
-1.133008769,-0.72090671,-0.796617416,-0.111530084,-0.290201487,-0.191352999,-0.115173142,-0.128902987,0.63403939,0.704551073,0.284208426,-0.851727047,-0.486303767,0.069259037,-0.378424712,-0.690908606,1.253905792,-0.022201642,2,0.001993024,8,2011,TRUE,5,0.902574518,0.57428684,-0.457083251,-0.505086821,0.126364563,0.080402786
-0.319230356,-0.727803683,-0.265955115,-0.024986196,-0.503849237,0.173721294,0.829221179,-0.148708376,0.913680946,-0.245389071,-0.913821287,-0.158088623,-1.108077871,0.052022675,0.266023261,0.276267581,0.643059683,-1.034754951,11,0.002491281,8,2011,TRUE,3,0.084900946,0.193563112,-0.664980358,-0.242998121,0.007976352,0.018185045
-0.455774293,-0.403091132,-0.263729417,0.51377621,-0.404151804,0.133396657,-0.228202621,-0.073385693,0.140607404,0.233177568,0.293266527,0.119663998,-0.66799923,0.160449164,-0.253096685,0.279558204,0.815110519,-1.162471103,12,0.002491281,8,2011,TRUE,4,0.120201089,0.106306989,-0.056677598,-0.037082309,-0.234165989,-0.207098634
-0.319801682,-0.157888281,2.049397865,-1.097400827,1.10952676,-0.131820069,-2.383726464,-0.013864807,-1.116753893,0.151678056,0.338571275,0.409249271,1.237258848,-0.029646221,-1.880826909,-1.259732605,-1.028794909,-0.674063513,15,0.001993024,8,2011,TRUE,4,-0.655400884,-0.323575906,0.176322352,-2.288673044,0.35095063,0.17326673
-0.365104444,-0.534913345,-0.706073114,-0.15899096,-0.246413588,0.47607132,-0.290582363,-0.10665813,0.527023703,0.491483364,0.161894203,0.092746747,1.500694366,0.033510198,-0.414244585,-1.777398613,0.510012448,-0.022201642,31,0.003487793,8,2011,TRUE,3,0.257790432,0.377687931,-0.281912012,-0.372117267,0.058048306,0.085046386
