Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Company 360,Rating agency 2,3/3/2014,Basic Industries,1.3489244921947319,0.4994327680895306,1.0867441572281238,-0.24010579187128978,-3.5947022229523706,-3.704825506010631,-1.5357474252940848,-3.2519869593695527,-5.572240309760139,-3.7757081060334903,-0.022201641603082915,-0.574893556760978,-1.0763448564336422,-0.045236543994454995,-1.5238989788088075,-0.14902932093461935,-0.6591306308970426,-0.14875438897760931,-0.05049128440079787,-3.84701463826925,-0.32979425554577435,-0.627076176577687,0.24096032467150325,0.7676104229229986
B,Company 166,Rating agency 3,3/4/2014,Capital Goods,0.6232510100774656,-0.33063190057486647,0.1584242164167968,0.12064811357768365,-0.9533929920130485,-0.4044059550830847,-1.5357474252940848,-0.4660855090131664,-2.046149376756532,-1.7494351909706454,-0.022201641603082915,0.6706206719212355,0.07844531348552998,0.12120063809128524,0.41889840978405757,-0.4815843528290449,-0.3417957581717754,-0.1340106558017303,0.1298755025667468,-0.447176085519598,-1.5709812666623364,-0.47425384288165934,-0.4869380862187092,0.480246682607559
BBB,Company 147,Rating agency 4,3/5/2014,Health Care,-0.6228314150390072,-0.7550618151088769,-0.5827967529039516,-0.06306904405777031,-0.35061744196144223,-0.10981226096436217,-1.3842082392228792,-0.2014531144501498,-0.00035969212204899493,0.5264418627486326,0.2816791459100063,1.8723613947284585,2.256557133607729,0.25606486534604606,0.7658027068319578,0.12582409892748914,0.5250095017804253,0.22342059742045414,0.27049906839337495,-0.1359102488971533,0.05311026113394997,0.37896131708690384,-0.566270092546138,0.3701915458010776
BB,Company 460,Rating agency 3,3/7/2014,Capital Goods,1.1128222317569425,0.5861497309421465,0.6632008644647843,0.4029194272020082,-0.3993986924543952,-0.13349553521551188,-0.8795491230792196,-0.15297113204527582,-0.44890937853061663,-0.5736008691529619,-3.378423020045472,0.5516692425266838,0.375250210618919,0.056759393061420436,-0.004799148133558908,0.3064329778683842,-0.16966967289331322,-0.1251485601844057,0.06135790599175008,-0.160222908137319,0.02685143428642974,-0.5214650544789803,-0.4825031149193049,0.5631107489215222
BB,Company 318,Rating agency 1,3/10/2014,Consumer Services,-1.6286278936324594,1.5062703524603496,-0.0755637957646843,-2.446369468056936,-0.09890422785100837,0.1204245097092394,-0.9025388521101417,0.21961229484664047,-0.3376869858709271,-0.48604020530386394,-0.3832947128434415,-1.2331354546431967,-0.5300934310823435,0.6024981313258856,1.170397465508585,0.20424677386843476,0.3139331546287134,-0.0871458165685928,0.6398424573744382,0.10682221330491572,0.10986965254351228,-0.48068910499523954,-0.15106403347523797,-0.10809058922217275
BBB,Company 143,Rating agency 4,3/10/2014,Energy,-1.5171073356624294,-0.7011273336266372,-0.9041174550471268,0.4727156727360412,-0.30595849025719496,-0.08929033891088609,-0.9873764431251896,-0.14236014879728373,-0.340933918695255,-0.35351120176739953,-1.230013921428385,-0.10127708759409679,-0.8782327718775382,0.16839778794059984,0.30316358140935806,0.0104743889534761,-2.79207511061698,-0.4438519669910571,0.20944053784444658,-0.026914957114493824,0.3195547874943499,-0.16612823729236767,-0.3008496613619779,-0.13815163992066234
BB,Company 333,Rating agency 4,3/11/2014,Capital Goods,-0.20370970900884325,0.004792943902625741,0.1715257245953249,0.4217589941251287,-0.2639008737717542,-0.05068746994839847,-1.3129740163768266,-0.17743669794039496,0.16227782467554744,0.37938570246251974,-0.03484790165431983,1.2246074994082439,0.8094741661492606,0.05572537745387443,-0.015448783055608916,0.1440240626029447,0.034672856707944046,0.034206323114688325,0.05745840165456466,-0.07353920390068229,0.08435694302612391,0.33832037701100165,-0.4670440543983653,0.2329024848393727
BB,Company 230,Rating agency 3,3/12/2014,Consumer Services,0.5145798232277201,0.7929782054821888,0.5549305832076561,0.923753781184497,-0.44516859649389307,-0.10029704778789335,-0.4191901355023975,-0.10415882786891141,-0.5310346932564249,-0.520559342132527,-0.022201641603082915,0.1165595315443678,1.2744194853463169,0.010495045714174589,-0.41505933385972554,0.9149468260354973,0.3930258738078551,0.01838588610335652,0.012110218358675434,-0.12489551218298624,0.07896580862479194,-0.07745090144701121,-0.2550924993454499,0.49465651238619435
BBB,Company 380,Rating agency 3,3/12/2014,Transportation,-0.07772728525347397,0.14545970962667337,0.6881449926391049,0.13179104163764618,0.410553430314936,0.3602153230638284,0.32485161019168496,0.45724320017453535,0.15029106576064422,0.09316858367020657,-0.18720741767395502,-0.5887024145996823,-1.2239981771668087,0.022741746266322724,-0.30859080104585696,0.05919745501497696,-0.0016478412482433351,0.04333155369551923,0.02181339130379273,0.4890130402441243,0.2228259046968116,0.4362538799924454,0.3204446977301263,-0.6675991157469275
A,Company 82,Rating agency 1,3/18/2014,Public Utilities,-0.977498927978488,-0.7321575646723757,-2.0087353339548493,0.5087390887426624,-0.02705725318300609,0.11532934406207664,1.493537063327553,0.12885655558722273,-0.16189976533124104,-0.31915628438307936,-0.6047246563174686,-0.5583593039755008,-1.037418051383381,0.10602452884407705,0.3247067720174297,0.1038076945535784,0.6145654617515888,6.01641310970453,0.11370255048329533,0.1057600058821571,-0.14180244385584134,5.557397198276394,0.06000047305584453,-0.08551444428408354
